t (s),AceX,AceY,AceZ,GirX,GirY,GirZ,Altura
9.200354099273682,-3784.00,12712.00,10260.00,-641.00,44.00,123.00,-1.35
9.258015155792236,-3776.00,12848.00,10096.00,-573.00,86.00,169.00,-1.52
9.315397500991821,-3656.00,12836.00,10004.00,-539.00,24.00,241.00,-1.33
9.371644735336304,-3516.00,12944.00,9716.00,-635.00,49.00,263.00,-1.58
9.426629066467285,-3376.00,12924.00,9544.00,-732.00,98.00,164.00,-1.58
9.482751607894897,-3284.00,12728.00,9476.00,-788.00,44.00,125.00,-1.44
9.540802717208862,-3524.00,12708.00,9644.00,-982.00,-4.00,-36.00,-1.16
9.60004997253418,-3524.00,12928.00,9644.00,-1015.00,-58.00,-59.00,-1.35
9.65541672706604,-3692.00,12744.00,9952.00,-1087.00,-8.00,-47.00,-1.33
9.713117122650146,-3740.00,12884.00,10052.00,-1045.00,12.00,-24.00,-1.46
9.769775629043579,-3672.00,12656.00,10364.00,-942.00,32.00,65.00,-1.46
9.827123165130615,-3760.00,12728.00,10476.00,-832.00,29.00,108.00,-1.29
9.885184288024902,-3752.00,12800.00,10312.00,-646.00,43.00,147.00,-1.39
9.941616535186768,-3880.00,12700.00,10072.00,-591.00,30.00,212.00,-1.21
9.995440244674683,644.00,12344.00,5620.00,-262.00,-52.00,607.00,-1.40
10.05312204360962,-3512.00,12784.00,9620.00,-864.00,11.00,25.00,-1.33
10.109490156173706,-3356.00,13008.00,9664.00,-576.00,-43.00,189.00,-1.38
10.167516469955444,-3520.00,12728.00,9760.00,-899.00,-37.00,-33.00,-1.20
10.220320224761963,-3396.00,13196.00,9724.00,-795.00,5.00,28.00,-1.20
10.278559923171997,-3896.00,12200.00,10272.00,-1002.00,-120.00,-18.00,-1.15
10.338849544525146,-4264.00,14156.00,8912.00,-981.00,-189.00,435.00,-1.28
10.396679878234863,-4936.00,11768.00,11196.00,-1305.00,-137.00,268.00,-1.24
10.454282999038696,-3384.00,13860.00,9600.00,-812.00,-52.00,204.00,-1.24
10.515936136245728,-3516.00,12496.00,10940.00,-1090.00,58.00,-14.00,-1.04
10.572624206542969,-3620.00,12744.00,10240.00,-1017.00,43.00,-34.00,-1.40
10.625770092010498,-3236.00,13048.00,9956.00,-245.00,6.00,107.00,-1.30
10.683184385299683,-3480.00,12596.00,10140.00,-404.00,-44.00,105.00,-1.24
10.74068570137024,-3204.00,13044.00,9652.00,-591.00,18.00,124.00,-1.15
10.797849416732788,-3516.00,12928.00,9672.00,-767.00,54.00,78.00,-1.17
10.855266809463501,-3636.00,12116.00,10036.00,-976.00,-100.00,8.00,-1.33
10.91211223602295,-3320.00,13272.00,9116.00,-828.00,-108.00,178.00,-1.40
10.969637870788574,-3412.00,12648.00,9684.00,-968.00,-28.00,147.00,-1.20
11.027882099151611,-3412.00,12428.00,9660.00,-1236.00,-80.00,27.00,-1.46
11.085135459899902,-3072.00,13124.00,10052.00,-1084.00,-20.00,-24.00,-1.46
11.145812034606934,-3364.00,12912.00,10500.00,-1082.00,43.00,-147.00,-1.48
11.20386528968811,-3988.00,12576.00,10844.00,-908.00,23.00,-113.00,-1.33
11.260895490646362,-3656.00,12600.00,10324.00,-551.00,34.00,166.00,-1.50
11.31866455078125,-3536.00,12736.00,10148.00,-529.00,49.00,270.00,-1.45
11.370895862579346,-3300.00,12792.00,9812.00,-527.00,52.00,297.00,-1.31
11.428669452667236,-3008.00,12612.00,9864.00,-449.00,-7.00,329.00,-1.14
11.486360788345337,-2840.00,13172.00,9504.00,-721.00,28.00,189.00,-0.98
11.543535947799683,-3300.00,13080.00,9356.00,-876.00,100.00,141.00,-1.24
11.600746154785156,-3744.00,12800.00,10020.00,-1090.00,61.00,-13.00,-1.53
11.658085823059082,-3868.00,13024.00,9928.00,-1129.00,-3.00,-96.00,-1.51
11.715291500091553,-3796.00,12660.00,10484.00,-1131.00,64.00,-58.00,-1.31
11.777066230773926,-3448.00,12672.00,10144.00,-1154.00,23.00,-100.00,-1.26
11.830516576766968,-3532.00,12364.00,10100.00,-997.00,16.00,17.00,-1.26
11.887782096862793,-3776.00,12388.00,10284.00,-669.00,-3.00,207.00,-1.32
11.944815874099731,-3804.00,12580.00,10272.00,-529.00,3.00,337.00,-1.21
12.002324342727661,-3716.00,12724.00,10048.00,-568.00,-13.00,292.00,-1.20
12.059480667114258,-3636.00,12652.00,9720.00,-562.00,-7.00,263.00,-1.20
12.113028287887573,-3428.00,12820.00,9384.00,-722.00,-12.00,8.00,-1.22
12.169606924057007,-3144.00,13192.00,9324.00,-706.00,14.00,-93.00,-1.19
12.227863311767578,-3808.00,12256.00,10128.00,-780.00,-64.00,137.00,-1.19
12.285392045974731,-3612.00,13096.00,9496.00,-1242.00,-66.00,-78.00,-1.23
12.346153020858765,-3328.00,13168.00,9732.00,-1337.00,45.00,-124.00,-1.23
12.403000831604004,-3476.00,11948.00,11088.00,-1008.00,-8.00,196.00,-1.07
12.460559368133545,-3536.00,12856.00,10080.00,-734.00,-133.00,279.00,-1.10
12.51858401298523,-3612.00,12812.00,10240.00,-882.00,23.00,-43.00,-1.10
12.575598239898682,-3532.00,13136.00,10324.00,-538.00,70.00,17.00,-1.48
12.632664680480957,-3856.00,12328.00,10636.00,-648.00,100.00,137.00,-1.18
12.689809799194336,-3812.00,12724.00,10040.00,-562.00,-61.00,255.00,-1.06
12.747118949890137,-3492.00,13104.00,9100.00,-739.00,25.00,109.00,-1.08
12.80484914779663,-3356.00,12880.00,9724.00,-626.00,15.00,150.00,-1.02
12.857921123504639,-3516.00,12688.00,10312.00,-922.00,23.00,92.00,-1.17
12.915276527404785,-3520.00,12648.00,10368.00,-1073.00,34.00,72.00,-1.37
12.973105430603027,-3432.00,12884.00,9792.00,-982.00,-43.00,17.00,-1.09
13.030556440353394,-3540.00,12568.00,10032.00,-1006.00,-17.00,45.00,-1.09
13.088102340698242,-3644.00,12936.00,10016.00,-1044.00,86.00,-89.00,-1.28
13.145510911941528,-3760.00,12696.00,10276.00,-747.00,4.00,19.00,-1.09
13.197849988937378,-3924.00,12664.00,10652.00,-744.00,7.00,57.00,-1.16
13.25603461265564,-3916.00,12936.00,10272.00,-695.00,18.00,216.00,-1.14
13.313401222229004,-3696.00,12640.00,10144.00,-665.00,38.00,329.00,-1.04
13.37082028388977,-3420.00,12748.00,9684.00,-608.00,-43.00,224.00,-1.56
13.427480697631836,-3332.00,13032.00,9636.00,-561.00,22.00,140.00,-1.56
13.485204935073853,-3184.00,12848.00,9856.00,-738.00,-6.00,-16.00,-1.32
13.538520812988281,-3304.00,13032.00,9760.00,-915.00,16.00,-26.00,-1.36
13.595293045043945,-3548.00,12752.00,9968.00,-983.00,18.00,2.00,-1.24
13.649150133132935,-3724.00,12744.00,9808.00,-1009.00,3.00,21.00,-1.09
13.702364921569824,-3608.00,13132.00,9888.00,-983.00,9.00,61.00,-1.53
13.759777307510376,-3544.00,12724.00,10312.00,-1011.00,9.00,48.00,-1.41
13.816886901855469,-3504.00,12940.00,10216.00,-896.00,63.00,68.00,-1.41
13.874366044998169,-3812.00,12648.00,10440.00,-714.00,23.00,131.00,-1.14
13.927129745483398,-3556.00,12932.00,10224.00,-562.00,10.00,101.00,-0.75
13.98523211479187,-3704.00,12596.00,10092.00,-648.00,30.00,98.00,-1.17
14.041789054870605,-3668.00,12800.00,9532.00,-603.00,27.00,-4.00,-1.40
14.095285654067993,-3504.00,12704.00,9644.00,-693.00,25.00,87.00,-1.03
14.152576208114624,-3596.00,12664.00,9664.00,-852.00,-4.00,116.00,-1.23
14.21041464805603,-3480.00,12928.00,9532.00,-929.00,-23.00,116.00,-1.23
14.267006158828735,-3776.00,12576.00,10252.00,-1009.00,-32.00,173.00,-1.15
14.324301719665527,-3476.00,13044.00,9964.00,-1024.00,-15.00,138.00,-0.98
14.381386041641235,-3492.00,12792.00,10040.00,-840.00,18.00,126.00,-1.19
14.439569234848022,-3372.00,12736.00,10436.00,-955.00,-13.00,16.00,-1.08
14.496702671051025,-3376.00,12740.00,10236.00,-735.00,27.00,17.00,-1.23
14.554314613342285,-3684.00,12712.00,10080.00,-709.00,45.00,-44.00,-1.24
14.611708164215088,-3652.00,12732.00,10056.00,-658.00,31.00,109.00,-0.94
14.668863296508789,-3712.00,12784.00,9876.00,-710.00,61.00,185.00,-0.94
14.722410440444946,-3540.00,12808.00,9556.00,-718.00,-3.00,310.00,-1.41
14.77882170677185,-3332.00,12876.00,9844.00,-736.00,-16.00,207.00,-1.41
14.836919069290161,-3324.00,13004.00,9620.00,-910.00,39.00,94.00,-1.36
14.894134044647217,-3480.00,12748.00,10108.00,-938.00,16.00,-32.00,-1.23
14.951727867126465,-3400.00,12824.00,9824.00,-1020.00,35.00,-103.00,-1.27
15.007898330688477,-3568.00,12652.00,10052.00,-916.00,49.00,-66.00,-1.22
15.066071510314941,-3472.00,12760.00,10196.00,-828.00,13.00,-38.00,-1.22
15.123894453048706,-3764.00,12308.00,10392.00,-835.00,-51.00,47.00,-0.91
15.176993370056152,-3504.00,13196.00,9612.00,-835.00,-6.00,125.00,-0.96
15.233995199203491,-3812.00,12692.00,10352.00,-596.00,19.00,252.00,-1.31
15.2957124710083,-3676.00,12932.00,10256.00,-800.00,-23.00,250.00,-1.08
15.352876663208008,-3480.00,13008.00,10188.00,-741.00,29.00,308.00,-1.06
15.406092643737793,-3420.00,12816.00,9940.00,-870.00,31.00,147.00,-0.99
15.45894169807434,-3316.00,12904.00,9856.00,-768.00,23.00,7.00,-1.15
15.516072034835815,-3340.00,12688.00,9908.00,-697.00,22.00,-29.00,-1.15
15.574056625366211,-3632.00,12528.00,9932.00,-862.00,25.00,-66.00,-1.13
15.627101421356201,-3736.00,12904.00,9696.00,-935.00,0.00,87.00,-1.29
15.684397220611572,-3864.00,12696.00,10044.00,-963.00,40.00,153.00,-1.36
15.741814136505127,-3552.00,12868.00,10108.00,-827.00,-59.00,193.00,-1.01
15.799308061599731,-3540.00,12712.00,10252.00,-807.00,18.00,189.00,-1.47
15.85637617111206,-3324.00,12872.00,10144.00,-789.00,24.00,141.00,-1.50
15.91329574584961,-3560.00,12660.00,10212.00,-726.00,1.00,131.00,-1.50
15.97169280052185,-3344.00,12844.00,9828.00,-718.00,-52.00,95.00,-1.38
16.0243239402771,-3136.00,12936.00,10208.00,-734.00,19.00,70.00,-1.56
16.08161497116089,-3480.00,12752.00,10120.00,-749.00,74.00,90.00,-1.59
16.138598680496216,-3500.00,12804.00,10000.00,-845.00,-7.00,26.00,-1.34
16.196356058120728,-3744.00,12756.00,9792.00,-830.00,-16.00,105.00,-1.52
16.249592542648315,-3720.00,12888.00,9640.00,-948.00,8.00,121.00,-1.32
16.307279109954834,-3600.00,12840.00,9912.00,-889.00,-31.00,134.00,-1.47
16.3637592792511,-3348.00,12728.00,10208.00,-911.00,17.00,142.00,-1.47
16.421799421310425,-3328.00,12988.00,10420.00,-821.00,17.00,112.00,-1.60
16.474685430526733,-3584.00,12496.00,10416.00,-850.00,2.00,-5.00,-1.25
16.532800912857056,-3536.00,13004.00,9848.00,-651.00,3.00,66.00,-1.23
16.58582901954651,-3664.00,12560.00,10152.00,-698.00,48.00,132.00,-1.50
16.643028020858765,-3604.00,12892.00,9748.00,-725.00,-9.00,230.00,-1.06
16.699846744537354,-3756.00,12800.00,9876.00,-762.00,38.00,210.00,-1.44
16.75770926475525,-3564.00,12764.00,9804.00,-963.00,35.00,124.00,-1.44
16.81156849861145,-3388.00,12860.00,9948.00,-889.00,46.00,78.00,-1.45
16.864185094833374,-3280.00,12732.00,9980.00,-979.00,29.00,32.00,-1.56
16.9217586517334,-3412.00,12808.00,9928.00,-904.00,22.00,-46.00,-1.42
16.97831439971924,-3492.00,12644.00,10220.00,-871.00,47.00,13.00,-1.62
17.03495192527771,-3548.00,12636.00,10072.00,-842.00,31.00,26.00,-1.72
17.089409351348877,-3632.00,12932.00,10088.00,-828.00,30.00,1.00,-1.31
17.14651584625244,-3700.00,12760.00,10104.00,-609.00,15.00,125.00,-1.31
17.204259157180786,-3704.00,12676.00,10272.00,-771.00,4.00,180.00,-1.24
17.261253356933594,-3480.00,12928.00,9852.00,-793.00,-21.00,270.00,-1.39
17.31448984146118,-3488.00,12780.00,9764.00,-724.00,24.00,277.00,-1.05
