T (ms),AceX,AceY,AceZ,GirX,GirY,GirZ,Altura
210.0,17512.00,-532.00,1264.00,-863.00,-15.00,110.00,-1.08
211.0,17524.00,-428.00,1416.00,-883.00,-1.00,101.00,-0.71
212.0,17528.00,-456.00,1228.00,-871.00,40.00,116.00,-0.86
213.0,17468.00,-408.00,1276.00,-871.00,36.00,76.00,-0.90
214.0,17520.00,-496.00,1328.00,-884.00,16.00,130.00,-0.97
215.0,17512.00,-448.00,1328.00,-875.00,-17.00,127.00,-1.33
216.0,17516.00,-444.00,1324.00,-855.00,18.00,115.00,-1.33
217.0,17516.00,-408.00,1292.00,-928.00,36.00,154.00,-0.82
218.0,17500.00,-468.00,1308.00,-832.00,-55.00,85.00,-1.22
219.0,17460.00,-444.00,1284.00,-871.00,-14.00,111.00,-0.88
220.0,17524.00,-328.00,1360.00,-866.00,15.00,76.00,-0.90
221.0,17536.00,-392.00,1388.00,-887.00,-3.00,92.00,-0.96
222.0,17648.00,-376.00,1380.00,-878.00,4.00,140.00,-1.22
223.0,17472.00,-416.00,1312.00,-909.00,-9.00,129.00,-1.22
224.0,17456.00,-512.00,1320.00,-865.00,-15.00,123.00,-1.18
225.0,17540.00,-412.00,1324.00,-847.00,-10.00,60.00,-0.87
226.0,17528.00,-400.00,1316.00,-861.00,5.00,107.00,-1.12
227.0,17508.00,-400.00,1484.00,-888.00,16.00,110.00,-0.96
228.0,17544.00,-408.00,1184.00,-914.00,-10.00,104.00,-1.09
229.0,17416.00,-420.00,1216.00,-886.00,4.00,103.00,-1.09
230.0,17564.00,-392.00,1268.00,-877.00,-35.00,106.00,-0.85
231.0,17536.00,-420.00,1364.00,-858.00,-8.00,115.00,-0.83
232.0,17392.00,-436.00,1436.00,-858.00,4.00,108.00,-0.70
233.0,17556.00,-340.00,1356.00,-867.00,31.00,125.00,-0.97
234.0,17492.00,-404.00,1312.00,-833.00,-25.00,87.00,-0.82
235.0,17556.00,-488.00,1384.00,-863.00,-16.00,129.00,-0.82
236.0,17612.00,-452.00,1332.00,-872.00,-24.00,119.00,-0.75
237.0,17500.00,-464.00,1400.00,-880.00,-13.00,123.00,-0.70
238.0,17544.00,-424.00,1352.00,-892.00,55.00,122.00,-0.71
239.0,17444.00,-472.00,1304.00,-855.00,-16.00,94.00,-1.08
240.0,17444.00,-440.00,1284.00,-874.00,6.00,120.00,-0.89
241.0,17396.00,-380.00,1368.00,-884.00,17.00,118.00,-1.01
242.0,17504.00,-368.00,1464.00,-887.00,22.00,95.00,-1.01
243.0,17512.00,-412.00,1456.00,-869.00,10.00,101.00,-0.71
244.0,17444.00,-420.00,1276.00,-842.00,-18.00,88.00,-0.77
245.0,17564.00,-416.00,1332.00,-897.00,3.00,98.00,-0.82
246.0,17500.00,-368.00,1288.00,-865.00,-28.00,114.00,-0.82
247.0,17432.00,-556.00,1336.00,-884.00,-2.00,118.00,-0.68
248.0,17512.00,-444.00,1200.00,-875.00,-12.00,100.00,-0.68
249.0,17460.00,-472.00,1240.00,-910.00,21.00,116.00,-0.90
250.0,17476.00,-412.00,1304.00,-869.00,-14.00,120.00,-0.95
251.0,17488.00,-420.00,1364.00,-861.00,13.00,98.00,-0.91
252.0,17488.00,-484.00,1216.00,-868.00,-17.00,112.00,-1.00
253.0,17524.00,-376.00,1340.00,-862.00,-4.00,99.00,-1.11
254.0,17488.00,-320.00,1436.00,-888.00,-25.00,130.00,-0.79
255.0,17588.00,-336.00,1300.00,-880.00,3.00,120.00,-0.79
256.0,17284.00,-568.00,1524.00,-850.00,-52.00,144.00,-1.20
257.0,17512.00,-388.00,1448.00,-860.00,-14.00,114.00,-0.97
258.0,17556.00,-496.00,1264.00,-886.00,-18.00,106.00,-1.06
259.0,17508.00,-364.00,1240.00,-901.00,22.00,110.00,-0.96
260.0,22768.00,-1692.00,4528.00,-570.00,4224.00,1333.00,-1.27
261.0,20640.00,424.00,1092.00,-878.00,73.00,285.00,-1.27
262.0,17776.00,-1476.00,2712.00,-716.00,39.00,393.00,-0.92
263.0,17748.00,-684.00,1164.00,-282.00,-116.00,-30.00,-1.16
264.0,18408.00,-556.00,2028.00,-934.00,-599.00,53.00,-0.98
265.0,16716.00,-1192.00,2420.00,-877.00,-1116.00,-576.00,-1.14
266.0,17336.00,-1172.00,292.00,-752.00,214.00,186.00,-1.16
267.0,16104.00,100.00,4856.00,-2081.00,-564.00,-71.00,-1.03
268.0,15664.00,-2316.00,2592.00,-11082.00,3104.00,-2483.00,-1.03
269.0,20676.00,4168.00,-580.00,-2906.00,11071.00,-9893.00,-1.04
270.0,22020.00,3540.00,2896.00,-4984.00,18848.00,-4058.00,-0.92
271.0,17800.00,3972.00,5440.00,-5305.00,25969.00,273.00,-0.89
272.0,10304.00,1720.00,5596.00,-5319.00,16988.00,-3690.00,-0.96
273.0,10216.00,1504.00,6048.00,323.00,16999.00,-3594.00,-0.96
274.0,10356.00,388.00,13820.00,-1947.00,-419.00,2580.00,-0.90
275.0,10608.00,424.00,14624.00,-1467.00,-212.00,1917.00,-0.90
276.0,12920.00,640.00,16432.00,-3206.00,-2550.00,284.00,-1.05
277.0,12656.00,496.00,15512.00,-3902.00,-3269.00,654.00,-1.05
278.0,12524.00,924.00,12220.00,-2437.00,-1891.00,387.00,-0.76
279.0,12124.00,448.00,14804.00,-5256.00,-10139.00,1041.00,-0.82
280.0,13848.00,-404.00,10428.00,-1133.00,-12865.00,2688.00,-0.82
281.0,14384.00,-368.00,11208.00,-4279.00,-32768.00,4480.00,-0.92
282.0,15424.00,-1352.00,5992.00,-4712.00,-29578.00,4677.00,-1.03
283.0,17732.00,-1312.00,-2320.00,-4965.00,-27762.00,4057.00,-0.84
284.0,17124.00,-2568.00,-4476.00,-6125.00,-29041.00,4018.00,-0.84
285.0,13640.00,-172.00,-8920.00,-3002.00,-24299.00,68.00,-1.08
286.0,13008.00,-2684.00,-9788.00,973.00,1016.00,109.00,-1.01
287.0,12812.00,-2684.00,-9932.00,44.00,3816.00,414.00,-1.01
288.0,15564.00,-1096.00,-4692.00,3432.00,32767.00,-3954.00,-0.61
289.0,17056.00,-2348.00,-2100.00,3631.00,32767.00,-6068.00,-0.61
290.0,17240.00,-1672.00,1660.00,2236.00,32767.00,1360.00,-0.97
291.0,17076.00,-884.00,8844.00,3940.00,32423.00,-2625.00,-0.98
292.0,14012.00,-964.00,12696.00,1104.00,13664.00,151.00,-0.76
293.0,12612.00,-1700.00,13460.00,597.00,11251.00,1148.00,-0.76
294.0,13180.00,-1656.00,12904.00,-3736.00,-4085.00,-733.00,-0.82
295.0,14792.00,-740.00,10692.00,-441.00,-5398.00,-361.00,-0.82
296.0,14780.00,-1476.00,11348.00,-3694.00,-7026.00,2221.00,-0.89
297.0,14796.00,-984.00,8260.00,-1070.00,-12558.00,-1481.00,-0.87
298.0,16476.00,-1320.00,6044.00,-745.00,-25548.00,768.00,-0.98
299.0,16604.00,-1708.00,5480.00,-1495.00,-25141.00,190.00,-0.98
300.0,17216.00,-1256.00,-1336.00,-1060.00,2359.00,-422.00,-0.72
301.0,18068.00,-1796.00,-276.00,-281.00,3297.00,-828.00,-0.72
302.0,17576.00,-1312.00,-488.00,-854.00,-1931.00,700.00,-1.03
303.0,17796.00,-1424.00,844.00,-254.00,4215.00,763.00,-1.32
304.0,16868.00,-1512.00,1464.00,65.00,2841.00,1204.00,-1.32
305.0,16260.00,-2012.00,2048.00,297.00,1816.00,-794.00,-0.95
306.0,18356.00,-1348.00,1544.00,167.00,2343.00,-1303.00,-0.94
307.0,17652.00,-1492.00,2712.00,-617.00,2011.00,1169.00,-1.00
308.0,19572.00,-1360.00,2024.00,-1665.00,-476.00,-2136.00,-1.00
309.0,18192.00,-1248.00,3028.00,-3313.00,2385.00,-1838.00,-1.13
310.0,20624.00,416.00,2684.00,1021.00,23953.00,-7555.00,-0.96
311.0,19152.00,-88.00,5348.00,-1173.00,24930.00,1959.00,-0.92
312.0,11644.00,88.00,9736.00,901.00,32767.00,1591.00,-0.79
313.0,7896.00,-1052.00,12656.00,-336.00,17037.00,1144.00,-0.87
314.0,9408.00,-60.00,14984.00,666.00,8380.00,-2336.00,-0.81
315.0,9912.00,-1368.00,16356.00,-2183.00,-362.00,60.00,-0.77
316.0,11568.00,-624.00,13820.00,-2326.00,-758.00,733.00,-0.90
317.0,10176.00,-1560.00,15716.00,-3820.00,-4345.00,1363.00,-0.91
318.0,10432.00,-904.00,12272.00,-3491.00,-5823.00,313.00,-0.78
319.0,11976.00,-1448.00,14720.00,-3061.00,-6881.00,1253.00,-0.78
320.0,12364.00,-1400.00,11924.00,-3431.00,-17295.00,-1486.00,-0.59
321.0,14728.00,-1620.00,10468.00,-191.00,-22347.00,1674.00,-1.09
322.0,14616.00,-1492.00,8588.00,-3413.00,-27337.00,-1807.00,-1.01
323.0,17960.00,-1880.00,1508.00,-1973.00,-9147.00,1351.00,-0.64
324.0,17780.00,-1992.00,1640.00,-976.00,-8286.00,1592.00,-0.64
325.0,18164.00,-2092.00,1224.00,-1193.00,-507.00,-223.00,-1.11
326.0,18040.00,-2172.00,1864.00,-1919.00,-838.00,-824.00,-1.11
327.0,17620.00,-1936.00,2236.00,2124.00,4268.00,-144.00,-1.14
